"k","variable","param","simulated","estimated","median","q5","q95","bias","abs_bias","covered_90","rhat","ess_bulk","ess_tail"
1,"mu_alpha","alpha",1.628,1.96632522835,1.9627711,1.7020496,2.235800775,0.33832522835,0.33832522835,FALSE,1.00050151210087,4211.46730135585,6505.31331492083
1,"mu_beta","beta",0.185,0.196877788012325,0.19599249,0.1084698895,0.287630979,0.011877788012325,0.011877788012325,TRUE,1.00087029616737,2566.38210495196,4507.71717546591
1,"mu_lambda","lambda",0.0239,0.0200538119400983,0.018783747,0.00413133591,0.04036392135,-0.00384618805990167,0.00384618805990167,TRUE,1.00000246763945,8184.54306918529,6473.00637410574
1,"mu_delta","delta",0.703,0.738064353318333,0.739151165,0.606060588,0.865004376,0.0350643533183334,0.0350643533183334,TRUE,1.00032178692881,4356.70144923271,6738.68961427354
1,"mu_eta","eta",-0.744,-0.740632120646667,-0.740038715,-0.8338691485,-0.648238645,0.00336787935333338,0.00336787935333338,TRUE,1.00017999527523,6463.86647236442,8574.53761126629
2,"mu_alpha","alpha",2.602,2.67701626275,2.67331755,2.382590915,2.983173545,0.0750162627500002,0.0750162627500002,TRUE,1.0005620712107,5368.76964388227,7070.72417570029
2,"mu_beta","beta",0.185,0.224186857684558,0.223693075,0.144188834,0.305805046,0.0391868576845583,0.0391868576845583,TRUE,1.00051014932771,4233.51875503198,5898.35704688106
2,"mu_lambda","lambda",0.0239,0.0179660770039552,0.0174913705,0.00470874678,0.03288345345,-0.00593392299604475,0.00593392299604475,TRUE,1.00001191029859,10193.5189670172,7027.35816018788
2,"mu_delta","delta",0.703,0.641514037679167,0.644481725,0.506371612,0.7655784,-0.0614859623208333,0.0614859623208333,TRUE,1.00054080762873,4730.9919857176,6769.87912651211
2,"mu_eta","eta",-0.744,-0.664326742519167,-0.6647573,-0.756629644,-0.5723312915,0.0796732574808333,0.0796732574808333,TRUE,1.00097233197311,5303.46221551069,6718.43404110475
3,"mu_alpha","alpha",3.697,3.78699789228333,3.7795175,3.44417738,4.15713348,0.0899978922833333,0.0899978922833333,TRUE,1.00039615326663,5405.92644197376,7225.23000676384
3,"mu_beta","beta",0.185,0.20190555157205,0.20190642,0.1220237,0.283182764,0.01690555157205,0.01690555157205,TRUE,0.99996342508522,3913.0769005549,5736.3497645477
3,"mu_lambda","lambda",0.0239,0.02694118293365,0.0271018525,0.01429150155,0.0388281331,0.00304118293365,0.00304118293365,TRUE,1.00059893528228,9877.23609299128,6007.35372273834
3,"mu_delta","delta",0.703,0.8390760916475,0.83705692,0.724215353,0.958703044,0.1360760916475,0.1360760916475,FALSE,1.00097188765827,1872.92711906338,3565.79120263334
3,"mu_eta","eta",-0.744,-0.863423801470833,-0.86396207,-0.946666771,-0.7781382485,-0.119423801470833,0.119423801470833,FALSE,1.0019894904807,3466.75443826845,5335.16758193691
4,"mu_alpha","alpha",1.628,1.47492819102167,1.47164775,1.229357435,1.73381583,-0.153071808978333,0.153071808978333,TRUE,1.00071403767475,6269.01447152009,8144.23968297673
4,"mu_beta","beta",0.352,0.456727522608333,0.456589285,0.3749202805,0.541225846,0.104727522608333,0.104727522608333,FALSE,1.00016946294727,5717.25523451877,7500.85364190447
4,"mu_lambda","lambda",0.0239,0.0200209923519488,0.019596956,0.00551231038,0.0357619022,-0.00387900764805117,0.00387900764805117,TRUE,1.00002665089723,11303.838071539,7267.79595804563
4,"mu_delta","delta",0.703,0.732395632648333,0.734450695,0.6624674035,0.7963129795,0.0293956326483333,0.0293956326483333,TRUE,1.0001947942082,10967.7408912396,7948.79640939952
4,"mu_eta","eta",-0.744,-0.649706417988333,-0.649306495,-0.7375153955,-0.5622508885,0.0942935820116667,0.0942935820116667,FALSE,1.00031126489899,6843.38314371805,8029.65185257113
5,"mu_alpha","alpha",2.602,2.61999804546667,2.61523775,2.31120063,2.93843147,0.0179980454666668,0.0179980454666668,TRUE,1.0008005992053,2888.43464230755,4651.36578526283
5,"mu_beta","beta",0.352,0.386623202253333,0.38614851,0.31064515,0.4659423765,0.0346232022533334,0.0346232022533334,TRUE,1.00101602159066,2592.37548151695,5126.7034243601
5,"mu_lambda","lambda",0.0239,0.0234250346444425,0.0235744635,0.009845616415,0.0365046523,-0.000474965355557501,0.000474965355557501,TRUE,1.00121936366836,6366.1954941423,3697.62558352496
5,"mu_delta","delta",0.703,0.793352841446667,0.792441265,0.6828109635,0.9057924535,0.0903528414466667,0.0903528414466667,TRUE,1.00090030949808,2747.4421629287,4431.95007084342
5,"mu_eta","eta",-0.744,-0.683576373255,-0.683221035,-0.752091617,-0.617448098,0.060423626745,0.060423626745,TRUE,1.00044245698194,4320.88449620013,5718.39762892762
6,"mu_alpha","alpha",3.697,3.264883654875,3.26028395,2.969194815,3.57546982,-0.432116345125,0.432116345125,FALSE,1.00014698433962,6219.93492597571,7941.38057952596
6,"mu_beta","beta",0.352,0.378694136930833,0.378539375,0.2876856705,0.472259194,0.0266941369308333,0.0266941369308333,TRUE,1.00129670209792,3457.28339727831,5868.05001679653
6,"mu_lambda","lambda",0.0239,0.0312616597232583,0.0313236965,0.01753230915,0.04472156535,0.00736165972325833,0.00736165972325833,TRUE,1.00032220755675,9656.33702378114,6803.1887163195
6,"mu_delta","delta",0.703,0.8149095834175,0.81612588,0.7087974875,0.9153470485,0.1119095834175,0.1119095834175,FALSE,1.00112429462573,2745.09870564159,5125.92356063899
6,"mu_eta","eta",-0.744,-0.7761844373475,-0.775468345,-0.8636579645,-0.6905685845,-0.0321844373475,0.0321844373475,TRUE,1.0002257618342,4086.04437513452,5829.9112493751
