ParticipantPrivateID,randomiser_475f,ResponseButtonOrder,Sources,Trials_perBlock_,Blocks,MinimumSamples,MaximumSamples,RT,Stimulus,Response,NoOfStimuli,CorrectResponse,TrialType,TrialIndex,Accuracy,Block,TrialNumber,Sample_Reliability,Sample_Color,Sample_NumColor,Prior_Belief,Awareness
11696534,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,22585.400000006,blue,0,6,1,js-scroll-button-response,3,0,1,1,65           65           65           50           55           55,blueredredredredblue,0  1  1  1  1  0,1,1
11696534,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,13106.599999994,blue,1,6,1,js-scroll-button-response,5,1,1,2,55           50           65           65           50           65,blueredbluebluebluered,0  1  0  0  0  1,1,1
11696534,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,6645,red,0,6,0,js-scroll-button-response,7,1,1,3,65           50           55           55           50           65,redredredbluebluered,1  1  1  0  0  1,1,1
11696534,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,9155.90000000596,blue,1,6,1,js-scroll-button-response,9,1,1,4,65           65           55           55           55           65,blueblueblueredredblue,0  0  0  1  1  0,1,1
11696534,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,18854.5,blue,1,6,1,js-scroll-button-response,11,1,1,5,50           50           55           65           50           50,blueredredbluebluered,0  1  1  0  0  1,1,1
11696534,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,10173.099999994,blue,1,6,1,js-scroll-button-response,13,1,1,6,50           50           50           65           55           65,blueredredblueredblue,0  1  1  0  1  0,1,1
11696534,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,4360.39999997616,blue,0,6,1,js-scroll-button-response,15,0,1,7,65           65           55           65           65           50,redblueredblueblueblue,1  0  1  0  0  0,1,1
11696534,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,10622.3999999762,blue,0,6,1,js-scroll-button-response,17,0,1,8,65  50  65  50  50  65,redblueblueredredred,1  0  0  1  1  1,1,1
11696534,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,11655.1999999881,blue,1,6,1,js-scroll-button-response,19,1,1,9,50           65           55           65           65           50,blueredblueblueblueblue,0  1  0  0  0  0,1,1
11696534,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,7262.5,red,1,6,0,js-scroll-button-response,21,0,1,10,65           50           55           50           50           65,blueblueblueredbluered,0  0  0  1  0  1,1,1
11696534,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,8466.80000001192,blue,0,6,1,js-scroll-button-response,23,0,1,11,55           65           65           65           50           55,redredredredblueblue,1  1  1  1  0  0,1,1
11696534,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,6328.19999998808,blue,0,6,1,js-scroll-button-response,25,0,1,12,65           65           55           50           55           50,redblueredblueblueblue,1  0  1  0  0  0,1,1
11696534,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,6144.5,red,0,6,0,js-scroll-button-response,27,1,1,13,50           55           65           50           65           55,redredblueblueredred,1  1  0  0  1  1,1,1
11696534,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,8726,blue,1,6,1,js-scroll-button-response,29,1,1,14,65           50           55           65           65           55,blueredredredredblue,0  1  1  1  1  0,1,1
11696534,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,8113.80000001192,red,1,6,0,js-scroll-button-response,31,0,1,15,65           55           65           50           50           50,blueblueredredredblue,0  0  1  1  1  0,1,1
