ParticipantPrivateID,randomiser_475f,Manipulation_ResponseButtonOrder,Manipulation_Sources,Manipulation_Trials_perBlock_,Manipulation_Blocks,Manipulation_MinimumSamples,Manipulation_MaximumSamples,RT,Stimulus,Response,NoOfStimuli,CorrectResponse,TrialType,TrialIndex,Accuracy,Block,TrialNumber,Sample_Reliability,Sample_Color,Sample_NumColor,Prior_Belief,Awareness
14064208,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,11826.3999999985,blue,0,6,0,js-scroll-button-response,3,1,1,1,55           55           55           50           65           50,blueredblueredbluered,1  0  1  0  1  0,1,1
14064208,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,10745.5,blue,1,6,0,js-scroll-button-response,5,0,1,2,55           50           65           65           50           65,redblueredredbluered,0  1  0  0  1  0,1,1
14064208,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,7724.70000000298,red,1,6,1,js-scroll-button-response,7,1,1,3,50           50           55           50           55           65,blueblueredredredred,1  1  0  0  0  0,1,1
14064208,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,13318.5,red,0,6,1,js-scroll-button-response,9,0,1,4,65           50           65           50           55           50,redblueblueredredred,0  1  1  0  0  0,1,1
14064208,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,8653.70000000298,red,1,6,1,js-scroll-button-response,11,1,1,5,50           65           55           55           65           55,blueblueblueredredred,1  1  1  0  0  0,1,1
14064208,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,7453.10000000149,blue,0,6,0,js-scroll-button-response,13,1,1,6,50           65           50           55           55           55,blueblueredredblueblue,1  1  0  0  1  1,1,1
14064208,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,9936.69999999553,blue,0,6,0,js-scroll-button-response,15,1,1,7,55           65           55           50           55           65,blueredredredblueblue,1  0  0  0  1  1,1,1
14064208,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,7881.39999999851,red,1,6,1,js-scroll-button-response,17,1,1,8,55           55           50           50           55           65,redredblueredredred,0  0  1  0  0  0,1,1
14064208,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,9726,blue,0,6,0,js-scroll-button-response,19,1,1,9,50           55           65           55           50           65,redblueblueredredblue,0  1  1  0  0  1,1,1
14064208,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,6389.89999999851,red,1,6,1,js-scroll-button-response,21,1,1,10,65           55           55           55           65           50,redredredredredred,0  0  0  0  0  0,1,1
14064208,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,6959,red,1,6,1,js-scroll-button-response,23,1,1,11,55           55           65           50           50           50,blueredredblueredblue,1  0  0  1  0  1,1,1
14064208,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,10663.6000000015,blue,0,6,0,js-scroll-button-response,25,1,1,12,55           55           55           50           65           50,blueredredredbluered,1  0  0  0  1  0,1,1
14064208,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,6208.89999999851,red,1,6,1,js-scroll-button-response,27,1,1,13,65           55           50           55           55           65,redredredredredred,0  0  0  0  0  0,1,1
14064208,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,7865.20000000298,blue,1,6,0,js-scroll-button-response,29,0,1,14,65           65           65           50           55           65,blueblueredredredred,1  1  0  0  0  0,1,1
14064208,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,8518.90000000596,blue,1,6,0,js-scroll-button-response,31,0,1,15,50           65           65           55           50           65,redblueredblueredred,0  1  0  1  0  0,1,1
14064208,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,8953.70000000298,blue,0,6,0,js-scroll-button-response,33,1,1,16,55           55           65           65           50           65,redredblueblueredblue,0  0  1  1  0  1,1,1
14064208,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,6568.60000000149,blue,0,6,0,js-scroll-button-response,35,1,1,17,55           55           65           50           55           50,redblueblueredredred,0  1  1  0  0  0,1,1
14064208,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,8481.60000000149,blue,1,6,0,js-scroll-button-response,37,0,1,18,55           50           50           55           55           65,redblueredredredblue,0  1  0  0  0  1,1,1
14064208,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,6965.80000000447,blue,1,6,0,js-scroll-button-response,39,0,1,19,55           55           55           55           65           50,redblueblueblueredblue,0  1  1  1  0  1,1,1
14064208,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,7198,blue,0,6,0,js-scroll-button-response,41,1,1,20,50           55           65           55           65           65,blueredblueredredblue,1  0  1  0  0  1,1,1
14064208,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,5211.39999999851,blue,0,6,0,js-scroll-button-response,43,1,1,21,65           65           65           50           50           55,blueblueblueredredred,1  1  1  0  0  0,1,1
