ParticipantPrivateID,randomiser_475f,ResponseButtonOrder,Sources,Trials_perBlock_,Blocks,MinimumSamples,MaximumSamples,RT,Stimulus,Response,NoOfStimuli,CorrectResponse,TrialType,TrialIndex,Accuracy,Block,TrialNumber,Sample_Reliability,Sample_Color,Sample_NumColor,Prior_Belief,Awareness
11696498,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,6103.19999999925,red,1,6,0,js-scroll-button-response,3,0,1,1,50           55           50           50           65           65,blueblueredblueblueblue,0  0  1  0  0  0,2,2
11696498,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,6754.80000000075,blue,1,6,1,js-scroll-button-response,5,1,1,2,55           55           65           50           65           65,blueredblueredredblue,0  1  0  1  1  0,2,2
11696498,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,15456.1999999993,red,1,6,0,js-scroll-button-response,7,0,1,3,65           50           50           65           65           55,redredredblueblueblue,1  1  1  0  0  0,2,2
11696498,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,31089.6999999993,blue,0,6,1,js-scroll-button-response,9,0,1,4,55           65           55           65           50           55,blueredblueblueredred,0  1  0  0  1  1,2,2
11696498,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,6769.79999999702,blue,1,6,1,js-scroll-button-response,11,1,1,5,65           65           55           55           65           55,redblueblueredblueblue,1  0  0  1  0  0,2,2
11696498,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,6107.69999999925,red,0,6,0,js-scroll-button-response,13,1,1,6,65           65           50           55           50           50,blueredredblueredred,0  1  1  0  1  1,2,2
11696498,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,6127.69999999925,red,0,6,0,js-scroll-button-response,15,1,1,7,50           50           50           65           50           55,blueredredredbluered,0  1  1  1  0  1,2,2
11696498,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,11639.0999999978,blue,1,6,1,js-scroll-button-response,17,1,1,8,65           65           55           55           65           55,blueredredblueblueblue,0  1  1  0  0  0,2,2
11696498,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,10887.1999999993,red,1,6,0,js-scroll-button-response,19,0,1,9,50           50           50           50           55           50,redbluebluebluebluered,1  0  0  0  0  1,2,2
11696498,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,6778.90000000224,red,0,6,0,js-scroll-button-response,21,1,1,10,65           65           55           55           65           65,blueredredblueredred,0  1  1  0  1  1,2,2
11696498,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,6699.29999999702,red,0,6,0,js-scroll-button-response,23,1,1,11,55           50           65           55           50           55,redredredredbluered,1  1  1  1  0  1,2,2
11696498,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,20277.3000000007,red,1,6,0,js-scroll-button-response,25,0,1,12,55           50           55           55           55           50,blueredblueredblueblue,0  1  0  1  0  0,2,2
11696498,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,5949.19999999925,red,1,6,0,js-scroll-button-response,27,0,1,13,55           55           50           65           65           50,blueblueblueblueredred,0  0  0  0  1  1,2,2
11696498,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,32992.1999999993,red,1,6,0,js-scroll-button-response,29,0,1,14,55           55           50           65           55           55,redredblueblueredblue,1  1  0  0  1  0,2,2
11696498,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,8607.69999999925,blue,0,6,1,js-scroll-button-response,31,0,1,15,50           65           55           55           50           50,blueredredbluebluered,0  1  1  0  0  1,2,2
11696498,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,7860,blue,1,6,1,js-scroll-button-response,33,1,1,16,50  50  50  65  50  65,blueredredblueblueblue,0  1  1  0  0  0,2,2
11696498,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,5560.10000000149,red,0,6,0,js-scroll-button-response,35,1,1,17,65           50           55           55           65           65,redredblueredredred,1  1  0  1  1  1,2,2
11696498,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,8443.40000000224,blue,1,6,1,js-scroll-button-response,37,1,1,18,65           55           50           50           65           50,redredredredblueblue,1  1  1  1  0  0,2,2
11696498,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,8348.90000000224,red,1,6,0,js-scroll-button-response,39,0,1,19,65           55           65           55           50           50,blueblueblueblueblueblue,0  0  0  0  0  0,2,2
11696498,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,4679.59999999776,red,0,6,0,js-scroll-button-response,41,1,1,20,50           50           50           55           55           50,redredredredredred,1  1  1  1  1  1,2,2
11696498,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,6084.80000000075,blue,0,6,1,js-scroll-button-response,43,0,1,21,65           50           55           55           65           50,blueblueredredredred,0  0  1  1  1  1,2,2
