ParticipantPrivateID,randomiser_475f,ResponseButtonOrder,Sources,Trials_perBlock_,Blocks,MinimumSamples,MaximumSamples,RT,Stimulus,Response,NoOfStimuli,CorrectResponse,TrialType,TrialIndex,Accuracy,Block,TrialNumber,Sample_Reliability,Sample_Color,Sample_NumColor,Prior_Belief,Awareness
11696594,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,50476.8000011444,red,0,6,0,js-scroll-button-response,3,1,1,1,50           65           65           55           65           55,redredredredredblue,1  1  1  1  1  0,2,1
11696594,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,27414.5999984741,blue,1,6,1,js-scroll-button-response,5,1,1,2,65  50  65  65  50  50,blueblueblueredbluered,0  0  0  1  0  1,2,1
11696594,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,16627.8999996185,blue,0,6,1,js-scroll-button-response,7,0,1,3,65           65           50           55           55           50,redredblueredredred,1  1  0  1  1  1,2,1
11696594,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,31523,red,0,6,0,js-scroll-button-response,9,1,1,4,55           50           65           65           65           65,redblueredredredred,1  0  1  1  1  1,2,1
11696594,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,12469,red,0,6,0,js-scroll-button-response,11,1,1,5,65  50  65  50  50  65,redredredblueredred,1  1  1  0  1  1,2,1
11696594,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,9261.09999847412,red,0,6,0,js-scroll-button-response,13,1,1,6,65           50           50           65           55           65,redredblueredbluered,1  1  0  1  0  1,2,1
11696594,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,11212,red,0,6,0,js-scroll-button-response,15,1,1,7,65           50           65           55           55           65,redblueredredbluered,1  0  1  1  0  1,2,1
11696594,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,133667.700000763,red,0,6,0,js-scroll-button-response,17,1,1,8,50           65           55           55           65           55,redblueblueredredred,1  0  0  1  1  1,2,1
11696594,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,22408.8999996185,blue,1,6,1,js-scroll-button-response,19,1,1,9,65           65           65           55           50           65,blueredblueblueblueblue,0  1  0  0  0  0,2,1
11696594,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,30630.1000003815,blue,1,6,1,js-scroll-button-response,21,1,1,10,55           50           55           65           55           55,blueredredblueblueblue,0  1  1  0  0  0,2,1
11696594,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,16500.5,red,0,6,0,js-scroll-button-response,23,1,1,11,65           65           65           50           65           55,redredredredredred,1  1  1  1  1  1,2,1
11696594,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,27270,red,0,6,0,js-scroll-button-response,25,1,1,12,50           50           50           55           50           50,blueredblueredbluered,0  1  0  1  0  1,2,1
11696594,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,13262,red,0,6,0,js-scroll-button-response,27,1,1,13,65           55           50           65           55           50,redredblueblueredred,1  1  0  0  1  1,2,1
11696594,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,29149,red,1,6,0,js-scroll-button-response,29,0,1,14,50           55           55           50           65           55,redblueredblueblueblue,1  0  1  0  0  0,2,1
11696594,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,39314.5,red,0,6,0,js-scroll-button-response,31,1,1,15,65           65           50           55           55           55,redredblueredblueblue,1  1  0  1  0  0,2,1
11696594,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,12068.7999992371,red,0,6,0,js-scroll-button-response,33,1,1,16,50           65           50           55           55           65,redredblueredbluered,1  1  0  1  0  1,2,1
11696594,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,13733.1000003815,blue,1,6,1,js-scroll-button-response,35,1,1,17,55           55           55           50           65           65,blueredredredblueblue,0  1  1  1  0  0,2,1
11696594,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,18413,red,0,6,0,js-scroll-button-response,37,1,1,18,50           55           55           55           55           65,redblueredredredred,1  0  1  1  1  1,2,1
