ParticipantPrivateID,randomiser_475f,ResponseButtonOrder,Sources,Trials_perBlock_,Blocks,MinimumSamples,MaximumSamples,RT,Stimulus,Response,NoOfStimuli,CorrectResponse,TrialType,TrialIndex,Accuracy,Block,TrialNumber,Sample_Reliability,Sample_Color,Sample_NumColor,Prior_Belief,Awareness
11696510,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,16522.5,red,1,6,1,js-scroll-button-response,3,1,1,1,55           50           55           65           55           55,blueredredredbluered,1  0  0  0  1  0,1,0
11696510,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,10607.5999999046,blue,0,6,0,js-scroll-button-response,5,1,1,2,55           55           55           50           65           50,blueredblueredredblue,1  0  1  0  0  1,1,0
11696510,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,10687,blue,1,6,0,js-scroll-button-response,7,0,1,3,65           55           55           65           50           55,blueblueredredredblue,1  1  0  0  0  1,1,0
11696510,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,7890.60000014305,blue,0,6,0,js-scroll-button-response,9,1,1,4,65           65           55           55           50           65,blueredblueredblueblue,1  0  1  0  1  1,1,0
11696510,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,7596.59999990463,blue,0,6,0,js-scroll-button-response,11,1,1,5,65           50           65           55           55           50,blueblueblueblueredred,1  1  1  1  0  0,1,0
11696510,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,6277.29999995232,blue,0,6,0,js-scroll-button-response,13,1,1,6,50           65           55           55           55           65,redblueblueblueredblue,0  1  1  1  0  1,1,0
11696510,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,6227.5,red,0,6,1,js-scroll-button-response,15,0,1,7,55           65           55           50           50           50,blueblueredredredblue,1  1  0  0  0  1,1,0
11696510,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,5568.19999980927,blue,1,6,0,js-scroll-button-response,17,0,1,8,65           50           55           65           55           65,redredredredredblue,0  0  0  0  0  1,1,0
11696510,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,11751.5,blue,1,6,0,js-scroll-button-response,19,0,1,9,65           55           50           50           50           50,redblueredredredred,0  1  0  0  0  0,1,0
11696510,Button0Blue,0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,7540.5,blue,0,6,0,js-scroll-button-response,21,1,1,10,55           55           50           65           50           50,bluebluebluebluebluered,1  1  1  1  1  0,1,0
