ParticipantPrivateID,randomiser_475f,ResponseButtonOrder,Sources,Trials_perBlock_,Blocks,MinimumSamples,MaximumSamples,RT,Stimulus,Response,NoOfStimuli,CorrectResponse,TrialType,TrialIndex,Accuracy,Block,TrialNumber,Sample_Reliability,Sample_Color,Sample_NumColor,Prior_Belief,Awareness
11710207,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,11924.2000000002,red,0,6,0,js-scroll-button-response,3,1,1,1,55           55           55           65           50           50,redredredredredblue,1  1  1  1  1  0,2,0
11710207,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,7036,red,0,6,0,js-scroll-button-response,5,1,1,2,55           50           50           50           50           65,blueredblueblueredred,0  1  0  0  1  1,2,0
11710207,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,6162.70000000019,red,0,6,0,js-scroll-button-response,7,1,1,3,55           55           50           55           50           55,redredredredblueblue,1  1  1  1  0  0,2,0
11710207,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,5942.59999999963,red,0,6,0,js-scroll-button-response,9,1,1,4,50  65  65  50  65  65,redblueblueredredred,1  0  0  1  1  1,2,0
11710207,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,5650.79999999981,red,0,6,0,js-scroll-button-response,11,1,1,5,55           55           65           65           65           50,redredblueblueredred,1  1  0  0  1  1,2,0
11710207,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,61884.9000000004,red,1,6,0,js-scroll-button-response,13,0,1,6,65           55           65           65           50           50,blueblueblueredblueblue,0  0  0  1  0  0,2,0
11710207,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,10764.7000000002,blue,1,6,1,js-scroll-button-response,15,1,1,7,50           65           55           50           50           50,redblueredblueredred,1  0  1  0  1  1,2,0
11710207,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,123939.600000001,blue,1,6,1,js-scroll-button-response,17,1,1,8,55           55           50           65           65           50,blueredblueblueredblue,0  1  0  0  1  0,2,0
11710207,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,4745.5,red,1,6,0,js-scroll-button-response,19,0,1,9,50           50           55           55           65           65,blueblueblueredblueblue,0  0  0  1  0  0,2,0
11710207,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,5194,blue,1,6,1,js-scroll-button-response,21,1,1,10,50           55           55           55           55           55,redblueredbluebluered,1  0  1  0  0  1,2,0
