"ParticipantPrivateID","randomiser_475f","ResponseButtonOrder","Sources","Trials_perBlock_","Blocks","MinimumSamples","MaximumSamples","RT","Stimulus","Response","NoOfStimuli","CorrectResponse","TrialType","TrialIndex","Accuracy","Block","TrialNumber","proba_1","proba_2","proba_3","proba_4","proba_5","proba_6","Sample_Color","Sample_NumColor","Prior_Belief","Awareness","TruePrior","InstructedPrior","Deception","FinalBelief","color_1","color_2","color_3","color_4","color_5","color_6"
15938034,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,20347.6000000015,"blue",0,6,1,"js-scroll-button-response",3,0,1,1,55,50,65,65,50,65,"redredbluebluebluered","1  1  0  0  0  1",1,1,1,2,1,1,"red","red","blue","blue","blue","red"
15938034,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,75396.5,"blue",0,6,1,"js-scroll-button-response",6,0,1,2,55,50,65,65,50,55,"redblueredblueredred","1  0  1  0  1  1",1,1,1,2,1,1,"red","blue","red","blue","red","red"
15938034,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,26667.1000000015,"red",1,6,0,"js-scroll-button-response",9,0,1,3,50,55,55,50,55,65,"blueredredredblueblue","0  1  1  1  0  0",1,1,1,2,1,1,"blue","red","red","red","blue","blue"
15938034,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,22382.700000003,"blue",0,6,1,"js-scroll-button-response",12,0,1,4,55,50,55,50,55,55,"blueredblueredredred","0  1  0  1  1  1",1,1,1,2,1,1,"blue","red","blue","red","red","red"
15938034,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,9154.39999999851,"blue",1,6,1,"js-scroll-button-response",15,1,1,5,65,55,65,65,65,50,"redblueredblueblueblue","1  0  1  0  0  0",1,1,1,2,1,1,"red","blue","red","blue","blue","blue"
15938034,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,12555,"red",0,6,0,"js-scroll-button-response",18,1,1,6,65,50,55,65,65,50,"redredredbluebluered","1  1  1  0  0  1",1,1,1,2,1,1,"red","red","red","blue","blue","red"
15938034,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,8792.5,"blue",1,6,1,"js-scroll-button-response",21,1,1,7,65,55,65,50,55,50,"blueblueredredbluered","0  0  1  1  0  1",1,1,1,2,1,1,"blue","blue","red","red","blue","red"
15938034,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,28601.799999997,"red",0,6,0,"js-scroll-button-response",24,1,1,8,65,65,55,65,50,50,"redblueblueredbluered","1  0  0  1  0  1",1,1,1,2,1,1,"red","blue","blue","red","blue","red"
15938034,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,22094.3000000045,"red",1,6,0,"js-scroll-button-response",27,0,1,9,50,55,65,50,65,65,"blueblueredredblueblue","0  0  1  1  0  0",1,1,1,2,1,1,"blue","blue","red","red","blue","blue"
15938034,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,20939.3999999985,"red",0,6,0,"js-scroll-button-response",30,1,1,10,55,65,50,50,65,50,"blueredblueblueredblue","0  1  0  0  1  0",1,1,1,2,1,1,"blue","red","blue","blue","red","blue"
15938034,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,23680.6000000015,"blue",1,6,1,"js-scroll-button-response",33,1,1,11,55,65,55,50,65,50,"blueredredredbluered","0  1  1  1  0  1",1,1,1,2,1,1,"blue","red","red","red","blue","red"
15938034,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,19146.1000000015,"blue",1,6,1,"js-scroll-button-response",36,1,1,12,65,65,65,65,65,55,"blueblueblueredblueblue","0  0  0  1  0  0",1,1,1,2,1,1,"blue","blue","blue","red","blue","blue"
15938034,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,25820.099999994,"blue",0,6,1,"js-scroll-button-response",39,0,1,13,65,50,55,65,55,50,"redblueredredredred","1  0  1  1  1  1",1,1,1,2,1,1,"red","blue","red","red","red","red"
