"ParticipantPrivateID","randomiser_475f","ResponseButtonOrder","Sources","Trials_perBlock_","Blocks","MinimumSamples","MaximumSamples","RT","Stimulus","Response","NoOfStimuli","CorrectResponse","TrialType","TrialIndex","Accuracy","Block","TrialNumber","proba_1","proba_2","proba_3","proba_4","proba_5","proba_6","Sample_Color","Sample_NumColor","Prior_Belief","Awareness","TruePrior","InstructedPrior","Deception","FinalBelief","color_1","color_2","color_3","color_4","color_5","color_6"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,11258.299999997,"blue",0,6,0,"js-scroll-button-response",3,1,1,1,55,55,55,55,65,55,"redredblueredbluered","0  0  1  0  1  0",1,3,1,1,0,3,"red","red","blue","red","blue","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,8680.40000000596,"red",1,6,1,"js-scroll-button-response",6,1,1,2,55,55,50,65,50,55,"blueblueblueredredred","1  1  1  0  0  0",1,3,1,1,0,3,"blue","blue","blue","red","red","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,7221.5,"red",1,6,1,"js-scroll-button-response",9,1,1,3,65,50,55,65,50,65,"redblueredblueredred","0  1  0  1  0  0",1,3,1,1,0,3,"red","blue","red","blue","red","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,8676.19999998808,"red",1,6,1,"js-scroll-button-response",12,1,1,4,50,50,50,55,55,55,"blueblueblueredbluered","1  1  1  0  1  0",1,3,1,1,0,3,"blue","blue","blue","red","blue","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,13458.099999994,"red",0,6,1,"js-scroll-button-response",15,0,1,5,50,55,50,50,55,55,"blueblueredbluebluered","1  1  0  1  1  0",1,3,1,1,0,3,"blue","blue","red","blue","blue","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,12227.400000006,"red",1,6,1,"js-scroll-button-response",18,1,1,6,55,50,65,50,50,55,"redredredblueredred","0  0  0  1  0  0",1,3,1,1,0,3,"red","red","red","blue","red","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,7557.70000000298,"blue",1,6,0,"js-scroll-button-response",21,0,1,7,55,50,50,55,50,65,"blueredblueredbluered","1  0  1  0  1  0",1,3,1,1,0,3,"blue","red","blue","red","blue","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,13760.099999994,"red",0,6,1,"js-scroll-button-response",24,0,1,8,65,50,50,65,55,55,"redblueredblueblueblue","0  1  0  1  1  1",1,3,1,1,0,3,"red","blue","red","blue","blue","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,9708.89999999106,"blue",1,6,0,"js-scroll-button-response",27,0,1,9,55,50,65,55,65,55,"blueredredredblueblue","1  0  0  0  1  1",1,3,1,1,0,3,"blue","red","red","red","blue","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,7180.30000001192,"blue",1,6,0,"js-scroll-button-response",30,0,1,10,55,65,55,55,50,50,"blueredblueredbluered","1  0  1  0  1  0",1,3,1,1,0,3,"blue","red","blue","red","blue","red"
