"k","variable","param","simulated","estimated","median","q5","q95","bias","abs_bias","covered_90","rhat","ess_bulk","ess_tail"
1,"mu_alpha","alpha",2.33,2.74483216271667,2.73204285,2.22671324,3.307404045,0.414832162716666,0.414832162716666,TRUE,1.00186199129823,2940.83648109957,4953.63172208081
1,"mu_beta","beta",0.381,0.379601011489667,0.3781333,0.252728961,0.510725755,-0.00139898851033332,0.00139898851033332,TRUE,1.00137552611532,3230.64206036413,5194.54812751668
1,"mu_lambda","lambda",0.0401,0.03518658326468,0.035001978,0.01383959095,0.0568127047,-0.00491341673532,0.00491341673532,TRUE,1.00039994565732,8064.37317597071,6235.75026154657
1,"mu_delta","delta",0.229,0.115703072771531,0.10604188,0.015859351,0.247613059,-0.113296927228469,0.113296927228469,TRUE,1.00043741696449,7883.92433090658,7047.92273611753
1,"mu_eta","eta",-0.346,-0.367502460491333,-0.367511095,-0.488491674,-0.245231463,-0.0215024604913334,0.0215024604913334,TRUE,1.00029839636807,3069.62831363002,5071.29764117615
2,"mu_alpha","alpha",3.66,3.90316903845833,3.89822265,3.39565752,4.44006821,0.243169038458333,0.243169038458333,TRUE,1.00065149228291,5026.98206349015,6413.21066764793
2,"mu_beta","beta",0.381,0.4809068820025,0.479408195,0.360461399,0.606128916,0.0999068820025,0.0999068820025,TRUE,1.00020346013383,3641.79869966247,5599.97068038559
2,"mu_lambda","lambda",0.0401,0.0235729367281397,0.0228029995,0.006522606775,0.04296286775,-0.0165270632718603,0.0165270632718603,TRUE,1.00076339972828,6701.8385198608,5988.21066274606
2,"mu_delta","delta",0.229,0.159116731328312,0.145643155,0.033200965,0.3300858455,-0.0698832686716875,0.0698832686716875,TRUE,1.00185267819573,3539.18169262845,3433.24800843647
2,"mu_eta","eta",-0.346,-0.238525086035292,-0.239586495,-0.3640670915,-0.1085780225,0.107474913964707,0.107474913964707,TRUE,1.00045310241194,2176.77793630234,4104.06201937071
3,"mu_alpha","alpha",4.96,5.40394153079167,5.4042115,4.99459736,5.80601066,0.443941530791666,0.443941530791666,FALSE,1.00030129617926,8729.62600332163,6213.64853185213
3,"mu_beta","beta",0.381,0.287647893384675,0.28703688,0.1555223165,0.427046854,-0.093352106615325,0.093352106615325,TRUE,1.0002113560217,3167.16249356038,5437.97429602918
3,"mu_lambda","lambda",0.0401,0.0386448234417942,0.038113096,0.0182490053,0.06041399785,-0.00145517655820583,0.00145517655820583,TRUE,1.00040050885549,5085.03843159112,5812.76661851942
3,"mu_delta","delta",0.229,0.326878253344325,0.32538149,0.157866368,0.501936327,0.097878253344325,0.097878253344325,TRUE,1.00014753642799,5252.04186340216,5132.4193849912
3,"mu_eta","eta",-0.346,-0.4254213004975,-0.424888,-0.519226094,-0.333362035,-0.0794213004975,0.0794213004975,TRUE,1.00054325569516,3009.02968946786,5112.82406857643
4,"mu_alpha","alpha",2.33,1.979249137275,1.96160405,1.60547741,2.39453503,-0.350750862725,0.350750862725,TRUE,1.00837481271661,1001.02005552711,2722.56067932783
4,"mu_beta","beta",0.645,0.666775851645833,0.66569057,0.565941543,0.779794805,0.0217758516458333,0.0217758516458333,TRUE,1.02031934148596,267.885599887562,3907.35576221021
