"k","n_divergent","n_max_td","max_rhat","min_ess"
1,0,0,1.13071721245864,22.7835981132886
2,0,0,1.00735288091749,897.763909365639
3,0,0,1.73281477353661,6.06177824125386
4,0,0,1.00284284850984,1920.46927828734
5,0,0,1.04983947106192,65.6427462281898
6,0,0,1.00158021483353,2749.66867072162
7,0,0,1.00264209325917,1285.29183334575
8,0,0,1.04713182850407,58.384232318547
9,0,0,1.00212915804071,3868.45322183947
10,0,0,1.0051636975286,515.424412614904
11,0,0,1.00204141210904,2645.02042349743
12,0,0,1.00307043524106,1867.03456552559
13,0,0,1.03945625899953,60.9718662009889
14,0,0,1.00516990612635,823.672805621191
15,0,0,1.15370833559476,17.1807425098917
16,0,0,1.00303751855323,2392.74225153851
17,0,0,1.00854527190256,477.867058307426
18,0,0,1.05326393875335,77.2153006722132
19,0,0,1.00338508842638,2509.54771465425
20,0,0,1.00189873298524,2497.73549371842
21,0,0,1.00222242826686,2974.60441246294
22,0,0,1.00301432645542,3511.75279958591
23,0,0,1.00632299369872,1315.77773659511
24,0,0,1.00157248783616,3855.49287044658
25,0,0,1.00341604232315,682.430111410271
26,0,0,1.00217536288637,2132.46308824769
27,0,0,1.00168034289579,3157.81190176799
28,0,0,1.00256328695399,2397.80570387
29,0,0,1.00485673301735,1290.47231948227
30,0,0,1.00851463915094,689.058613061744
31,0,0,1.00475624767129,1006.48842043633
32,0,0,1.0172122698704,179.667982208102
33,0,0,1.00170127846973,2719.66534074842
34,0,0,1.002705350014,1260.6966727922
35,0,0,1.0091230062236,315.8737799418
36,0,0,1.00744167876914,531.905493046239
37,0,0,1.01969106902684,266.0019662188
38,0,0,1.00394414822634,1731.14656422578
39,0,0,1.00588456797405,1314.75305464242
40,0,0,1.02164223132522,407.114809840078
41,0,0,1.00151919866223,945.444881765981
42,0,0,1.001873181293,449.945706879674
43,0,0,1.52841562219936,7.08576261623187
44,0,0,1.23478583403901,12.5654502147441
45,0,0,1.00416864446291,1466.2087041765
46,0,0,1.00176283267893,3258.98775060683
47,0,0,1.00195655637844,2607.66541632329
48,0,0,1.00265161203278,513.193278718133
49,0,0,1.00125927150852,3000.09799037302
50,0,0,1.00423057947691,2083.989154736
51,0,0,1.00621059291793,928.085790391864
52,0,0,1.5283747521055,7.10238269187096
53,0,0,1.00848206463444,335.884752048256
54,0,0,1.00227814618277,1306.51469215893
55,0,0,1.0015227051733,2127.09156085576
56,0,0,1.0069404666272,1278.94171727623
57,0,0,1.00182698535555,1855.23248699576
58,0,0,1.02556416880541,128.586025493009
59,0,0,1.00259542957266,1239.04329485507
60,0,0,1.01166758030511,332.418541226281
61,0,0,1.52818434033904,7.08283857938105
62,0,0,1.19617543748907,14.037835749107
63,0,0,1.00253067904436,1590.94301628483
64,0,0,1.00124198789301,3308.09413977005
