"k","variable","subject","param","simulated","estimated","median","q5","q95","bias","abs_bias","covered_90","rhat","ess_bulk","ess_tail"
1,"params[1,1]",1,"alpha",1.54443271333976,1.22783399667833,1.22409095,0.823045633,1.655340285,-0.316598716661428,0.316598716661428,TRUE,1.00038685293573,16954.3024630199,9746.69704302815
1,"params[2,1]",2,"alpha",1.38650732718418,1.52199418564333,1.5135545,0.999650332,2.06672597,0.135486858459158,0.135486858459158,TRUE,1.00009722137107,18312.2579961551,8801.61513739346
1,"params[3,1]",3,"alpha",2.98430338906707,3.38967355761667,3.37104085,2.63023442,4.21507563,0.405370168549601,0.405370168549601,TRUE,1.00005816818902,17014.4479868435,9671.62860927323
1,"params[4,1]",4,"alpha",3.20259149606186,2.79520721581667,2.78171615,2.09902847,3.54680167,-0.407384280245195,0.407384280245195,TRUE,1.00033211548681,17598.3241171943,9118.23878967053
1,"params[5,1]",5,"alpha",1.46328187590569,1.7185213519125,1.7095226,1.238413105,2.225744775,0.255239476006806,0.255239476006806,TRUE,1.00067751318321,22249.4820050897,9334.45511543082
1,"params[6,1]",6,"alpha",1.37639974874977,1.41607262749417,1.406345,1.009852055,1.850697925,0.0396728787443974,0.0396728787443974,TRUE,1.00037339141523,16624.3546273666,9671.72817506721
1,"params[7,1]",7,"alpha",2.93438358799753,2.77584907958333,2.7534416,2.05548318,3.563686305,-0.158534508414195,0.158534508414195,TRUE,1.00000056505789,17262.6022214388,9534.94699061858
1,"params[8,1]",8,"alpha",1.54233681571589,1.74467961684833,1.7337593,1.220841515,2.30055027,0.202342801132441,0.202342801132441,TRUE,1.00041160826133,18181.4108696376,9942.52871154726
1,"params[9,1]",9,"alpha",3.05022535756817,2.46397688603333,2.44756495,1.832620325,3.14910189,-0.586248471534841,0.586248471534841,TRUE,1.00041392067148,16671.9545286419,9552.51227266331
1,"params[10,1]",10,"alpha",1.95122470653199,1.41977135100167,1.4106886,0.9616123015,1.91252597,-0.531453355530318,0.531453355530318,FALSE,1.00051588051067,20103.7816704493,8996.50359168229
1,"params[11,1]",11,"alpha",1.77704176994747,1.85003749498583,1.8378076,1.26975431,2.46541776,0.072995725038367,0.072995725038367,TRUE,1.00015884952574,18943.9806708563,9843.99121248685
1,"params[12,1]",12,"alpha",0.514326816033963,0.607267176656333,0.598343055,0.2966853365,0.94642063,0.0929403606223703,0.0929403606223703,TRUE,1.00021457174893,14729.2384479003,9248.1060581303
1,"params[13,1]",13,"alpha",1.48309987557109,1.32399983530083,1.3122646,0.8743473155,1.805874865,-0.159100040270261,0.159100040270261,TRUE,1.0001808214857,17559.1121222111,10112.2090540747
1,"params[14,1]",14,"alpha",0.870937923676525,1.01196003006625,0.98883211,0.6202881755,1.476676795,0.141022106389725,0.141022106389725,TRUE,1.00017533744894,11792.6579109414,8116.03427921438
1,"params[15,1]",15,"alpha",2.26026941091994,1.80471195515917,1.79529135,1.29737223,2.34548459,-0.455557455760772,0.455557455760772,TRUE,1.00073135500321,20896.2283682871,8475.9022231987
1,"params[16,1]",16,"alpha",2.89656278015893,3.10498601624167,3.0819961,2.342712275,3.95908461,0.208423236082734,0.208423236082734,TRUE,1.00048309303031,13872.0256096386,9883.41340097635
1,"params[17,1]",17,"alpha",1.51587434680999,1.46550772965667,1.45047995,1.039639875,1.93545014,-0.0503666171533266,0.0503666171533266,TRUE,1.00006179081294,18821.7475771955,10138.3537110602
1,"params[18,1]",18,"alpha",2.40923327025098,2.41140047144167,2.39760755,1.77966414,3.107450635,0.00216720119068814,0.00216720119068814,TRUE,1.00005667482987,20409.6296893336,8677.53232069799
1,"params[19,1]",19,"alpha",2.51783694740077,2.17278161699417,2.15870715,1.485895195,2.91547064,-0.345055330406606,0.345055330406606,TRUE,0.99996946549485,20439.3844963006,9322.82591714957
1,"params[20,1]",20,"alpha",1.32533306591153,1.80862267657917,1.7829469,1.26458468,2.444155415,0.483289610667636,0.483289610667636,TRUE,1.00027152821108,11303.3667099739,8723.86134948034
1,"params[21,1]",21,"alpha",1.04729508560769,1.171280847455,1.16252245,0.745192684,1.626137035,0.123985761847315,0.123985761847315,TRUE,1.00092948205241,16802.171288569,10056.211687143
1,"params[22,1]",22,"alpha",2.20701840635525,2.336020700165,2.31770375,1.693644795,3.03693425,0.129002293809754,0.129002293809754,TRUE,1.00081174996797,20925.2020070424,9525.50765924131
1,"params[23,1]",23,"alpha",2.32997207770621,2.056781493345,2.041975,1.54484502,2.62286718,-0.273190584361212,0.273190584361212,TRUE,0.99996004446338,17769.8249447761,9638.07659083843
1,"params[1,2]",1,"beta",0.000348896475371341,0.154992604636695,0.15440712,0.0201226846,0.294787893,0.154643708161323,0.154643708161323,FALSE,1.00043911328541,17334.5117508097,9533.06712683873
1,"params[2,2]",2,"beta",0.490608603709649,0.553735985805,0.55039554,0.381012636,0.7356592865,0.0631273820953511,0.0631273820953511,TRUE,0.99999922761534,19012.149374654,10117.3414429414
1,"params[3,2]",3,"beta",0.152281779404651,0.194689843082901,0.194642725,0.0167414899,0.3726078575,0.0424080636782495,0.0424080636782495,TRUE,0.999940607641237,17784.4592177226,9370.08214016888
1,"params[4,2]",4,"beta",0.761319447941159,0.634807655795833,0.630147155,0.428473323,0.8568717885,-0.126511792145326,0.126511792145326,TRUE,1.00084346578084,17007.708614812,9527.14528601573
1,"params[5,2]",5,"beta",0.577562101231976,0.4365409976115,0.434899245,0.2722344575,0.610321307,-0.141021103620476,0.141021103620476,TRUE,0.999921654378968,19055.6921146955,9013.09724650932
1,"params[6,2]",6,"beta",0.0454044035339869,0.128571728671999,0.12898098,-0.01158933805,0.2697436725,0.0831673251380122,0.0831673251380122,TRUE,1.00039659202613,15759.9051107567,10254.2213909341
1,"params[7,2]",7,"beta",0.508138878184368,0.518054970736917,0.514480995,0.3136153205,0.731551296,0.00991609255254833,0.00991609255254833,TRUE,1.00028028745778,18331.3327257477,9757.32325509969
1,"params[8,2]",8,"beta",0.666227407382026,0.542066090382333,0.538172215,0.3657391075,0.7327055815,-0.124161316999693,0.124161316999693,TRUE,1.0003985230663,16747.4781736666,9995.70519560703
1,"params[9,2]",9,"beta",0.290379888412672,0.302813541818667,0.30090839,0.125751272,0.484924594,0.0124336534059943,0.0124336534059943,TRUE,1.00071399681814,16750.2918605764,9464.26331993879
1,"params[10,2]",10,"beta",0.491024840326174,0.614573876684167,0.611289565,0.4323858635,0.80883792,0.123549036357992,0.123549036357992,TRUE,1.00080024106582,18328.2310878824,9851.98608577074
1,"params[11,2]",11,"beta",0.494141819720519,0.513108256030833,0.510427445,0.3406216335,0.694638968,0.0189664363103145,0.0189664363103145,TRUE,1.00039543179132,16166.0643698349,8677.91374834212
1,"params[12,2]",12,"beta",0.266741525378858,0.227906775581312,0.2272054,0.0926122744,0.364282139,-0.0388347497975457,0.0388347497975457,TRUE,1.00043225330213,15521.376216228,10082.808629162
1,"params[13,2]",13,"beta",0.40074538702698,0.362595037035,0.35969988,0.198112751,0.5325013815,-0.0381503499919802,0.0381503499919802,TRUE,1.00037489781871,16595.4382364403,9549.4647153167
1,"params[14,2]",14,"beta",0.0689028499628437,0.0634799182782444,0.063464385,-0.08200858255,0.208974904,-0.00542293168459933,0.00542293168459933,TRUE,1.00016732706621,15543.419353635,10010.6920958392
1,"params[15,2]",15,"beta",0.543669888604781,0.46496529122025,0.463164605,0.2879313995,0.647134339,-0.0787045973845313,0.0787045973845313,TRUE,1.00034372176238,17404.1579946217,8705.0383904329
1,"params[16,2]",16,"beta",0.427423813040974,0.359868242356727,0.35753745,0.176946246,0.5502880705,-0.0675555706842466,0.0675555706842466,TRUE,1.00054146668309,18851.6854352908,9385.7374184208
1,"params[17,2]",17,"beta",0.228195388663579,0.212764156243293,0.21206294,0.06191004815,0.365660576,-0.0154312324202864,0.0154312324202864,TRUE,1.00003072860829,17785.9211627144,10302.7113130076
1,"params[18,2]",18,"beta",0.798305699022289,0.5820277933775,0.578937765,0.4001954035,0.7743885165,-0.216277905644789,0.216277905644789,FALSE,1.00026604969381,19394.6617430302,9229.72955953306
1,"params[19,2]",19,"beta",0.828118182827015,0.709891136129167,0.7054094,0.498822584,0.9363146955,-0.118227046697848,0.118227046697848,TRUE,0.999775190786603,16294.9635684056,9471.18281591655
1,"params[20,2]",20,"beta",0.318184634800783,0.243129553488883,0.23873007,0.0781305315,0.4206060775,-0.0750550813118992,0.0750550813118992,TRUE,0.999866817734099,15242.0763225365,8108.82514512749
1,"params[21,2]",21,"beta",0.398852985115688,0.340227675183458,0.337692915,0.1843074015,0.4993432175,-0.0586253099322294,0.0586253099322294,TRUE,1.00110715615637,16949.3371769173,10219.7333884012
1,"params[22,2]",22,"beta",0.4509597178817,0.627552646185,0.621378305,0.4213324885,0.8516499325,0.1765929283033,0.1765929283033,TRUE,1.00005699852887,18646.6249333049,9193.7110829664
1,"params[23,2]",23,"beta",0.125253499500727,0.207388935554973,0.20623059,0.0432803651,0.3740488325,0.0821354360542464,0.0821354360542464,TRUE,1.00025228564447,14960.18020756,8998.44127195276
1,"params[1,3]",1,"lambda",0.0117695320395026,0.0160456284223592,0.0121729685,0.000283533786,0.0452726647,0.00427609638285656,0.00427609638285656,TRUE,0.999966138469092,13638.2914457223,8751.22529494684
1,"params[2,3]",2,"lambda",0.017267497554285,0.0117836877143163,0.0093738727,0.000156248694,0.03138729205,-0.00548380983996866,0.00548380983996866,TRUE,1.00011543132967,12641.1762189208,9347.33850965733
