"k","variable","param","simulated","estimated","median","q5","q95","bias","abs_bias","covered_90","rhat","ess_bulk","ess_tail"
1,"mu_alpha","alpha",2.95,3.024779504125,3.01671515,2.66653207,3.4077897,0.0747795041249999,0.0747795041249999,TRUE,1.00105621315896,4556.40417933879,7171.4169679901
1,"mu_beta","beta",0.204,0.204788236305867,0.20410547,0.110698402,0.300403983,0.000788236305866691,0.000788236305866691,TRUE,1.00069078994795,3707.36736044055,5639.60849577746
1,"mu_lambda","lambda",0.0191,0.0110881793358714,0.010318907,0.00144574241,0.0237439301,-0.00801182066412856,0.00801182066412856,TRUE,1.00017039829865,11627.6337040179,6810.60261964951
1,"mu_delta","delta",1.18,1.11999591690083,1.11740515,0.9385115415,1.309731375,-0.0600040830991666,0.0600040830991666,TRUE,1.0004467848174,3300.89667042031,5571.53068922383
1,"mu_eta","eta",-0.48,-0.481066184254167,-0.48114307,-0.594509405,-0.3653993865,-0.00106618425416666,0.00106618425416666,TRUE,1.00033023862305,4010.23301562428,6564.60450488111
2,"mu_alpha","alpha",4.12,4.03004970990833,4.02621795,3.647442915,4.442624555,-0.0899502900916671,0.0899502900916671,TRUE,1.000137645633,5277.82760362598,6780.69306817611
2,"mu_beta","beta",0.204,0.251192903222583,0.25049783,0.147830784,0.357301664,0.0471929032225833,0.0471929032225833,TRUE,1.00063383276248,2981.83634745801,4387.60913879109
2,"mu_lambda","lambda",0.0191,0.00570489337367221,0.0047222508,0.0003340963045,0.0142816356,-0.0133951066263278,0.0133951066263278,FALSE,1.00017329658057,10622.3093213038,6845.33975666486
2,"mu_delta","delta",1.18,1.13832150207167,1.13504445,0.971842332,1.32096605,-0.0416784979283333,0.0416784979283333,TRUE,1.00124752959231,2044.13354417456,4013.19649626522
2,"mu_eta","eta",-0.48,-0.2969296988585,-0.296603225,-0.4136732,-0.180740267,0.1830703011415,0.1830703011415,FALSE,1.00176358632559,3125.00453378954,5089.9012365486
3,"mu_alpha","alpha",5.25,5.57224886540833,5.5766053,5.233222015,5.89573904,0.322248865408334,0.322248865408334,TRUE,1.00104874819446,8868.0759470162,5430.13514746924
