"k","alpha","beta","lambda","delta","eta"
1,3.73589743589744,0.496153846153846,0.100384615384615,1.3974358974359,-0.498717948717949
2,3.94102564102564,0.369230769230769,0.0715384615384615,1.37692307692308,-0.485897435897436
3,4.1974358974359,0.6,0.0619230769230769,1.47948717948718,-0.319230769230769
4,3.63333333333333,0.715384615384615,0.0734615384615385,0.946153846153846,-0.37051282051282
5,4.09487179487179,0.346153846153846,0.102307692307692,0.884615384615385,-0.434615384615385
6,2.5051282051282,0.623076923076923,0.104230769230769,1.27435897435897,-0.0628205128205129
7,3.83846153846154,0.334615384615385,0.0965384615384615,1.17179487179487,-0.332051282051282
8,3.47948717948718,0.646153846153846,0.0830769230769231,0.966666666666667,-0.152564102564103
9,3.22307692307692,0.484615384615385,0.0561538461538462,1.29487179487179,-0.357692307692308
10,3.01794871794872,0.380769230769231,0.0388461538461538,1.11025641025641,-0.126923076923077
11,4.3,0.392307692307692,0.0907692307692308,1.21282051282051,-0.511538461538462
12,2.96666666666667,0.323076923076923,0.11,0.802564102564102,-0.0756410256410257
13,3.12051282051282,0.461538461538462,0.0696153846153846,1.06923076923077,-0.114102564102564
14,2.86410256410256,0.576923076923077,0.0580769230769231,0.925641025641026,-0.408974358974359
15,2.76153846153846,0.553846153846154,0.035,1.23333333333333,-0.280769230769231
16,3.37692307692308,0.519230769230769,0.0446153846153846,1.31538461538462,-0.55
17,3.17179487179487,0.634615384615385,0.0676923076923077,0.72051282051282,-0.05
18,2.35128205128205,0.357692307692308,0.108076923076923,1.19230769230769,-0.203846153846154
19,4.04358974358974,0.680769230769231,0.0792307692307692,0.761538461538461,-0.178205128205128
20,4.14615384615385,0.611538461538462,0.0984615384615385,1.15128205128205,-0.383333333333333
21,3.53076923076923,0.3,0.0773076923076923,1.45897435897436,-0.396153846153846
22,3.06923076923077,0.426923076923077,0.0523076923076923,1.5,-0.537179487179487
23,2.4025641025641,0.588461538461538,0.0369230769230769,0.987179487179487,-0.165384615384615
24,3.32564102564103,0.438461538461538,0.0407692307692308,1.02820512820513,-0.13974358974359
25,4.24871794871795,0.542307692307692,0.0426923076923077,1.43846153846154,-0.293589743589744
26,3.88974358974359,0.657692307692308,0.106153846153846,1.33589743589744,-0.344871794871795
27,3.58205128205128,0.669230769230769,0.0542307692307692,1.13076923076923,-0.191025641025641
28,2.91538461538462,0.415384615384615,0.0503846153846154,0.843589743589743,-0.447435897435898
29,2.45384615384615,0.75,0.0888461538461539,1.35641025641026,-0.46025641025641
30,2.65897435897436,0.45,0.0946153846153846,1.00769230769231,-0.242307692307692
31,3.42820512820513,0.507692307692308,0.085,0.741025641025641,-0.473076923076923
32,3.78717948717949,0.726923076923077,0.0484615384615385,1.25384615384615,-0.306410256410256
33,3.27435897435897,0.473076923076923,0.06,0.905128205128205,-0.0884615384615385
34,3.68461538461538,0.692307692307692,0.0638461538461538,0.864102564102564,-0.101282051282051
35,2.81282051282051,0.565384615384615,0.0657692307692308,0.823076923076923,-0.421794871794872
36,2.55641025641026,0.403846153846154,0.0926923076923077,0.7,-0.255128205128205
37,2.3,0.530769230769231,0.0869230769230769,0.782051282051282,-0.267948717948718
38,2.60769230769231,0.311538461538462,0.0753846153846154,1.41794871794872,-0.216666666666667
39,3.99230769230769,0.703846153846154,0.0465384615384615,1.04871794871795,-0.524358974358974
40,2.71025641025641,0.738461538461539,0.0811538461538462,1.08974358974359,-0.22948717948718
