group,participant_index,ParticipantPrivateID,alpha,beta,lambda,delta,eta,final_signed_true,mean_signed_true,final_signed_instruction,mean_signed_instruction
Implicit Unaware,1,11696510,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.3597293448737786,0.35523361508498086,NA,NA
Implicit Unaware,2,11696542,5.414143426375,0.745249160105,0.044133141226769,1.2007428301511438,-0.242898823810915,0.17417906485655,0.1695142996907143,NA,NA
Implicit Unaware,3,11710202,1.49841108375,1.0872765710725,0.07276508646648625,0.9906612165580035,-0.322288829861375,0.30170673706392326,0.27888723233897356,NA,NA
Implicit Unaware,4,11710207,1.5246331973591,0.74334898187,0.174138255053,0.34902437505931283,-0.2150069143853225,-0.14058953953414988,0.1291770405665138,NA,NA
Implicit Unaware,5,11710212,3.082842502085,1.84573580642,0.03150561463510223,0.5881508010385323,-0.1906112664901,0.012213133002710874,0.16338569656436494,NA,NA
Implicit Unaware,6,11710217,2.318457869875,1.4674189112525,0.15936929778225,0.5386330883052654,-0.298178200034125,0.18410540925123442,0.15370099069324522,NA,NA
Implicit Unaware,7,11710220,5.081270763175,0.2633603049669025,0.095812586798255,0.39427147056863854,-0.18750644694625,-0.09596201306141061,0.13427708308186503,NA,NA
Implicit Unaware,8,11710229,5.05649113995,0.622097767377675,0.167116282701,1.005774116302802,-0.28017509252125,0.3018391890944414,0.3016235478428516,NA,NA
Implicit Unaware,9,11710230,5.093078975775,0.104672783477104,0.0833646894083525,0.6858299841585187,-0.1773919647031175,0.295620524756828,0.17854581906192257,NA,NA
Implicit Unaware,10,11710237,5.65848792435,0.4319949982667625,0.07408719367389335,0.6209101929414927,-0.20213845066522,0.13005802023820934,0.17284876502460206,NA,NA
Implicit Unaware,11,11710286,3.2495020872250002,0.360965752071735,0.08857321634828,1.2671257963449927,-0.24271416647858501,-0.40594585979814,-0.41198207052966496,NA,NA
Implicit Unaware,12,12075664,0.28956709722470514,0.8070832065775,0.06470854039395875,1.0644146683363318,-0.36305799309822,0.21262155936942906,0.19784168425442228,NA,NA
Implicit Unaware,13,12075669,4.964781359075,-0.4984998844505,0.07458062002911,1.63874791245,-0.14311803989726252,-0.44112469931524034,-0.44040442630972004,NA,NA
Implicit Unaware,14,12075672,3.98190550735,0.6410946376275,0.048958355968005,0.5174293855646024,-0.20738455776896025,-0.3247166443766729,0.1512224433829196,NA,NA
Implicit Unaware,15,12075674,5.5685978087,0.15991541741866,0.0612973279343325,1.017355917817234,-0.1738054772717925,0.30232308349645454,0.29728327113313024,NA,NA
Implicit Unaware,16,12075675,3.9352622309,0.40540788111232,0.1194948950178725,0.45475483574454734,-0.1751017434404425,0.4760058593678367,0.14046567068467178,NA,NA
Implicit Unaware,17,12075677,0.6221023034476969,0.8792977588199999,0.08843323281166438,0.8930804053837466,-0.325828697087715,0.08629563241040672,0.2399176607664779,NA,NA
Implicit Unaware,18,12075694,4.27021550745,0.338807302927,0.038837021834360996,0.3490850202036357,-0.2091979505738675,0.234029855187587,0.13194980809947357,NA,NA
Implicit Unaware,19,12075699,2.965267114675,1.1869153146625,0.04420318663398,0.8216828784819424,-0.3512874876675,0.4357009611995444,0.21413097482702018,NA,NA
Implicit Unaware,20,12075712,4.4587861932,0.8548264465,0.02029486023863782,0.9198510264449702,-0.17714313188186,0.29847554789934705,0.24732528565443224,NA,NA
Implicit Aware,1,11696534,1.96349997933,0.642104836225,0.055075384309391254,1.325430423435,0.0439843275399715,0.6424288324822263,0.6351959604395702,NA,NA
Implicit Aware,2,11696594,2.15683172073,0.869926041725,0.047470807016911,1.14057233352,0.0722528971862015,0.3222244290033146,0.3133748802147024,NA,NA
