Group,Parameter_1,Parameter_2,r
Implicit Unaware,mu_alpha,mu_beta,-0.04008106412799709
Implicit Unaware,mu_alpha,mu_delta,-0.042422468368443246
Implicit Unaware,mu_alpha,mu_lambda,0.1169893049716783
Implicit Unaware,mu_alpha,mu_eta,0.11143500739978249
Implicit Unaware,mu_beta,mu_delta,-0.03769643401945484
Implicit Unaware,mu_beta,mu_lambda,0.05188054591386138
Implicit Unaware,mu_beta,mu_eta,0.04897868992327581
Implicit Unaware,mu_delta,mu_lambda,-0.02308650571020165
Implicit Unaware,mu_delta,mu_eta,-0.14698636144839172
Implicit Unaware,mu_lambda,mu_eta,-0.054518314188305356
Implicit Aware,mu_alpha,mu_beta,-0.051572979864961815
Implicit Aware,mu_alpha,mu_delta,0.0055941478706498
Implicit Aware,mu_alpha,mu_lambda,0.05695478352410104
Implicit Aware,mu_alpha,mu_eta,0.03859451963486707
Implicit Aware,mu_beta,mu_delta,-0.04909159121040137
Implicit Aware,mu_beta,mu_lambda,0.03956498259742983
Implicit Aware,mu_beta,mu_eta,0.006723214529383929
Implicit Aware,mu_delta,mu_lambda,0.0015413566156569469
Implicit Aware,mu_delta,mu_eta,-0.036857317152542333
Implicit Aware,mu_lambda,mu_eta,-0.003304294555196354
Explicit Undirected,mu_alpha,mu_beta,0.12329525834869191
Explicit Undirected,mu_alpha,mu_delta,-0.029391049257793365
Explicit Undirected,mu_alpha,mu_lambda,0.1497496822544708
Explicit Undirected,mu_alpha,mu_eta,-0.042074030994204044
Explicit Undirected,mu_beta,mu_delta,0.08067298349856636
Explicit Undirected,mu_beta,mu_lambda,0.014534681127242615
Explicit Undirected,mu_beta,mu_eta,0.062426780569376124
Explicit Undirected,mu_delta,mu_lambda,-0.1792866486271657
Explicit Undirected,mu_delta,mu_eta,0.020050755942328104
Explicit Undirected,mu_lambda,mu_eta,0.026256381853791776
Explicit Truthful,mu_alpha,mu_beta,0.028066770278737867
Explicit Truthful,mu_alpha,mu_delta,4.93858550886325e-4
Explicit Truthful,mu_alpha,mu_lambda,0.12069460150100392
Explicit Truthful,mu_alpha,mu_eta,0.07309467200808126
Explicit Truthful,mu_beta,mu_delta,-0.0018837248461883512
Explicit Truthful,mu_beta,mu_lambda,0.05153313670301742
Explicit Truthful,mu_beta,mu_eta,0.0173741056178444
Explicit Truthful,mu_delta,mu_lambda,-0.027109126776789148
Explicit Truthful,mu_delta,mu_eta,0.02375279787847168
Explicit Truthful,mu_lambda,mu_eta,-0.0017720301644507136
Explicit Deceptive,mu_alpha,mu_beta,-0.031989500416251156
Explicit Deceptive,mu_alpha,mu_delta,0.007897536739678765
Explicit Deceptive,mu_alpha,mu_lambda,0.02759534385669867
Explicit Deceptive,mu_alpha,mu_eta,-0.0030628096551608506
Explicit Deceptive,mu_beta,mu_delta,0.04283009388851144
Explicit Deceptive,mu_beta,mu_lambda,0.014277092382527359
Explicit Deceptive,mu_beta,mu_eta,0.00390764734472696
Explicit Deceptive,mu_delta,mu_lambda,-0.02780371268158667
Explicit Deceptive,mu_delta,mu_eta,-0.23116307404255043
Explicit Deceptive,mu_lambda,mu_eta,0.03513550694276592
