"group","model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Exp11 Unaware","simple_model",0,0,-1466.60459528891,39.3814277140804,51.7508590012642,2.89196855207725,2933.20919057782,78.7628554281608
"Exp11 Unaware","learning_boost",-0.0709851943801354,5.84748960881497,-1466.67558048329,39.5849117910551,74.5321776668292,3.48156597199036,2933.35116096658,79.1698235821102
"Exp11 Unaware","global_eta",-2.0434334663711,8.76322529281581,-1468.64802875528,40.0946772200533,79.3436897184282,3.93292121356247,2937.29605751056,80.1893544401066
"Exp11 Unaware","eta_model",-9.99837439710552,6.71970588528509,-1476.60296968601,39.9406095912583,67.0343578193902,3.29441731537395,2953.20593937202,79.8812191825166
"Exp11 Unaware","learning_model",-39.1660516396788,11.4951371855927,-1505.77064692859,41.7060058952867,78.8719344520119,3.57368082186629,3011.54129385718,83.4120117905735
"Exp11 Aware","learning_boost",0,0,-2951.90806557143,48.8670249593068,131.256708190859,4.12360842010279,5903.81613114286,97.7340499186136
"Exp11 Aware","global_eta",-11.2800991993533,12.5345423652396,-2963.18816477078,49.3707101740608,142.832388773293,5.53477553078006,5926.37632954156,98.7414203481217
"Exp11 Aware","eta_model",-18.6225859719305,7.93096807182643,-2970.53065154334,49.2252084372201,109.621341976444,3.69993077873711,5941.06130308669,98.4504168744403
"Exp11 Aware","simple_model",-149.711231529418,19.4296101985905,-3101.61929710085,47.3199068758997,77.5382293662227,2.77660094730186,6203.2385942017,94.6398137517994
"Exp11 Aware","learning_model",-196.333898373678,21.0744687855482,-3148.24196394511,51.8902152765754,114.848721744288,3.73821764492862,6296.48392789022,103.780430553151
"Exp12 Aware","eta_model",0,0,-2119.61013183867,43.1658673360996,85.6218164523334,3.07427303535007,4239.22026367735,86.3317346721992
"Exp12 Aware","learning_boost",-3.40217046415335,1.69222755602745,-2123.01230230283,43.0943056591023,92.723501993679,3.23252562295768,4246.02460460565,86.1886113182045
"Exp12 Aware","global_eta",-20.0185838047451,10.5281922112656,-2139.62871564341,44.5299185904981,110.668270987906,8.43590744298133,4279.25743128683,89.0598371809962
"Exp12 Aware","simple_model",-55.9016195795892,12.2084222758223,-2175.51175141826,42.9137035938911,64.2559894632107,2.5212743513284,4351.02350283653,85.8274071877823
"Exp12 Aware","learning_model",-109.86012128245,14.9716296237116,-2229.47025312112,46.0849982613656,95.7774145212601,3.27097551724273,4458.94050624225,92.1699965227312
"Exp13 Truthful","learning_boost",0,0,-1832.67464565076,43.159868431154,93.7231798514048,3.73511264945012,3665.34929130152,86.319736862308
"Exp13 Truthful","global_eta",-6.02915399871678,9.65309969290672,-1838.70379964948,42.319676129562,92.6854444262967,4.61041789465389,3677.40759929897,84.639352259124
"Exp13 Truthful","eta_model",-14.1894956526921,6.23543070265906,-1846.86414130345,43.2041143951647,83.0507779834907,3.36251530525223,3693.7282826069,86.4082287903294
"Exp13 Truthful","learning_model",-143.866153058961,16.3650924881058,-1976.54079870972,43.9501905394958,85.7620192726937,3.31560339540661,3953.08159741945,87.9003810789916
"Exp13 Truthful","simple_model",-165.613144010993,18.2939215545931,-1998.28778966176,42.6991896349397,59.7432731011563,2.68488746175166,3996.57557932351,85.3983792698794
"Exp13 Deceptive","eta_model",0,0,-1928.64116301993,41.625354424531,80.5841311778931,3.08510107004563,3857.28232603986,83.2507088490621
"Exp13 Deceptive","learning_boost",-1.01029872287054,2.3991193167336,-1929.6514617428,41.529888334422,86.0719417333461,3.16035425336836,3859.30292348559,83.0597766688441
"Exp13 Deceptive","learning_model",-26.9323531583898,10.1884549218511,-1955.57351617832,42.8927206612128,80.7151600283709,3.0398325528197,3911.14703235664,85.7854413224255
"Exp13 Deceptive","simple_model",-37.5367138254088,11.217686727095,-1966.17787684533,41.1186766390133,59.8582332443016,2.46832913711853,3932.35575369067,82.2373532780265
"Exp13 Deceptive","global_eta",-59.3219069079152,12.2058312706816,-1987.96306992785,42.4895880350808,100.459825948073,4.4717761106118,3975.9261398557,84.9791760701617
