Group,Parameter,Behaviour,N,r,p
Implicit Unaware,alpha,Accuracy,20,0.631551387932598,0.00281985586132885
Implicit Unaware,alpha,OptimalChoice,20,0.184005141918367,0.437408694724476
Implicit Unaware,beta,Accuracy,20,-0.234822270340835,0.318976157920935
Implicit Unaware,beta,OptimalChoice,20,-0.0907320362276758,0.703629802315686
Implicit Unaware,lambda,Accuracy,20,-0.401674833480927,0.0791767256153858
Implicit Unaware,lambda,OptimalChoice,20,0.0482741852689252,0.839834697003035
Implicit Unaware,delta,Accuracy,20,-0.0895929800325766,0.707192122248573
Implicit Unaware,delta,OptimalChoice,20,-0.252508654900934,0.282792251841549
Implicit Unaware,eta,Accuracy,20,0.574628227305857,0.0080467407922821
Implicit Unaware,eta,OptimalChoice,20,0.614898105946684,0.00391071940108227
Implicit Aware,alpha,Accuracy,32,0.447199697509322,0.0102824698912313
Implicit Aware,alpha,OptimalChoice,32,-0.486062294128717,0.00479520074109198
Implicit Aware,beta,Accuracy,32,0.251364899277762,0.165209785316643
Implicit Aware,beta,OptimalChoice,32,0.242229450504142,0.18163653049409
Implicit Aware,lambda,Accuracy,32,-0.323270300226888,0.0711147354101962
Implicit Aware,lambda,OptimalChoice,32,-0.349558086366848,0.0498683928410764
Implicit Aware,delta,Accuracy,32,0.29883148006072,0.0966331298870475
Implicit Aware,delta,OptimalChoice,32,0.741240705193957,1.21784653230076e-06
Implicit Aware,eta,Accuracy,32,0.294713921615937,0.101541873815819
Implicit Aware,eta,OptimalChoice,32,0.722371184509135,3.04209463936247e-06
Explicit Undirected,alpha,Accuracy,26,0.690058333034588,9.58851939715865e-05
Explicit Undirected,alpha,OptimalChoice,26,0.0252800887247786,0.902437087533488
Explicit Undirected,beta,Accuracy,26,-0.247679655233296,0.222491351478326
Explicit Undirected,beta,OptimalChoice,26,-0.063336721558771,0.758553706246801
Explicit Undirected,lambda,Accuracy,26,-0.545144761574821,0.00397649781511194
Explicit Undirected,lambda,OptimalChoice,26,0.0809949039689983,0.694075497864037
Explicit Undirected,delta,Accuracy,26,0.187999932742415,0.357725637929383
Explicit Undirected,delta,OptimalChoice,26,0.452334333085204,0.0203342096709083
Explicit Undirected,eta,Accuracy,26,0.500525042404615,0.00920824600813962
Explicit Undirected,eta,OptimalChoice,26,0.750919593621701,9.88217771052328e-06
Explicit Truthful,alpha,Accuracy,25,0.405188842020513,0.0445003745350011
Explicit Truthful,alpha,OptimalChoice,25,-0.35363751563059,0.0828815472798373
Explicit Truthful,beta,Accuracy,25,0.0939048125697759,0.655254150543445
Explicit Truthful,beta,OptimalChoice,25,0.10104666782671,0.63080042944152
Explicit Truthful,lambda,Accuracy,25,-0.0822174968852622,0.696016088654919
Explicit Truthful,lambda,OptimalChoice,25,0.136977786427519,0.513811872490948
Explicit Truthful,delta,Accuracy,25,-0.315149806911386,0.124910805534453
Explicit Truthful,delta,OptimalChoice,25,-0.0674367301087568,0.748751597256412
Explicit Truthful,eta,Accuracy,25,0.305866232130928,0.137031034248316
Explicit Truthful,eta,OptimalChoice,25,0.591335386355595,0.00185119173858335
Explicit Deceptive,alpha,Accuracy,24,0.306694823300283,0.14492813168607
Explicit Deceptive,alpha,OptimalChoice,24,-0.148514041895758,0.488571297150502
Explicit Deceptive,beta,Accuracy,24,-0.00363275865432577,0.986558882600741
Explicit Deceptive,beta,OptimalChoice,24,0.294105054283176,0.163022898812273
Explicit Deceptive,lambda,Accuracy,24,-0.578818282152693,0.00304286069573635
Explicit Deceptive,lambda,OptimalChoice,24,-0.0359122797923289,0.867688870461941
Explicit Deceptive,delta,Accuracy,24,-0.0126397349329399,0.953256130939116
Explicit Deceptive,delta,OptimalChoice,24,-0.232266014256596,0.274769476725774
Explicit Deceptive,eta,Accuracy,24,0.405164853516756,0.04951874925525
Explicit Deceptive,eta,OptimalChoice,24,0.819336352565482,9.73808243750586e-07
