Group,Parameter1,Parameter2,N,r,p
Implicit Unaware,alpha,beta,20,-0.507393410360505,0.0223941885242382
Implicit Unaware,alpha,lambda,20,-0.137385751795088,0.563536513962975
Implicit Unaware,alpha,delta,20,-0.0181490752134998,0.93946303234618
Implicit Unaware,alpha,eta,20,0.752473244383896,0.000129373971971485
Implicit Unaware,beta,lambda,20,-0.040419076549946,0.865647956894784
Implicit Unaware,beta,delta,20,-0.288446535009138,0.217451015566391
Implicit Unaware,beta,eta,20,-0.464135805487707,0.03925404892391
Implicit Unaware,lambda,delta,20,-0.219582855226383,0.352269268758419
Implicit Unaware,lambda,eta,20,-0.0536355879752505,0.822304557320737
Implicit Unaware,delta,eta,20,-0.215734249808815,0.36098340727098
Implicit Aware,alpha,beta,32,-0.386315509859265,0.0289648031595842
Implicit Aware,alpha,lambda,32,0.0470753315220009,0.798070461183229
Implicit Aware,alpha,delta,32,-0.370507212519314,0.0368462890863599
Implicit Aware,alpha,eta,32,0.396669994405083,0.0245925804340688
Implicit Aware,beta,lambda,32,-0.0656117512356546,0.721260897625984
Implicit Aware,beta,delta,32,0.075850465869317,0.679900305620838
Implicit Aware,beta,eta,32,0.181362012791552,0.320519793739455
Implicit Aware,lambda,delta,32,-0.409886016317932,0.0198147422707352
Implicit Aware,lambda,eta,32,-0.0729242027047417,0.691634526166076
Implicit Aware,delta,eta,32,-0.0079535095177981,0.965540192329658
Explicit Undirected,alpha,beta,26,-0.65278328365797,0.000300646997209651
Explicit Undirected,alpha,lambda,26,-0.569444259398463,0.00239457225957659
Explicit Undirected,alpha,delta,26,0.00610515589143699,0.97638649286553
Explicit Undirected,alpha,eta,26,0.364853851289088,0.0668528931843243
Explicit Undirected,beta,lambda,26,0.444688646380622,0.0228351290952452
Explicit Undirected,beta,delta,26,0.0230467156669419,0.911021138657913
Explicit Undirected,beta,eta,26,-0.150937388953417,0.461722190311993
Explicit Undirected,lambda,delta,26,-0.172426262736636,0.39962010904173
Explicit Undirected,lambda,eta,26,-0.0019239656333678,0.992557574371311
Explicit Undirected,delta,eta,26,-0.0370144566241875,0.857532358004214
Explicit Truthful,alpha,beta,25,-0.410108808837739,0.0417375688883689
Explicit Truthful,alpha,lambda,25,-0.281125821867786,0.173416654644083
Explicit Truthful,alpha,delta,25,-0.0831694931943673,0.692663117306587
Explicit Truthful,alpha,eta,25,0.382598651060386,0.0590800918878417
Explicit Truthful,beta,lambda,25,-0.169843290862677,0.416985547258025
Explicit Truthful,beta,delta,25,0.160109900705088,0.444559439848903
Explicit Truthful,beta,eta,25,0.18365494171894,0.379525321697059
Explicit Truthful,lambda,delta,25,-0.276746448018414,0.18049837632637
Explicit Truthful,lambda,eta,25,-0.234082695595557,0.260068847021511
Explicit Truthful,delta,eta,25,0.299783639480063,0.145417536095876
Explicit Deceptive,alpha,beta,24,-0.425439299869967,0.0382086054927259
Explicit Deceptive,alpha,lambda,24,-0.0797608968625612,0.711025907858907
Explicit Deceptive,alpha,delta,24,0.169097568690155,0.429588825652686
Explicit Deceptive,alpha,eta,24,-0.104806352333719,0.625988647864683
Explicit Deceptive,beta,lambda,24,0.2560172942075,0.227231804893903
Explicit Deceptive,beta,delta,24,0.165401308441955,0.439887091552548
Explicit Deceptive,beta,eta,24,0.420620349322143,0.0406910182263067
Explicit Deceptive,lambda,delta,24,0.116182664812203,0.588763788429581
Explicit Deceptive,lambda,eta,24,-0.103359258868208,0.630790503297022
Explicit Deceptive,delta,eta,24,0.148822365225654,0.48765895269737
