participant,parameter,mean,median,sd,q2.5,q97.5,rhat,ess_bulk,ess_tail
1,alpha,4.89188911045,4.940072300000001,0.7277189148026276,3.4329375974999996,5.992664885000001,1.000482562019244,3751.3222412363975,2342.7368677824143
1,beta,0.3849385585618625,0.38033901000000003,0.17180701162412068,0.072867531125,0.7282890592500001,1.0005929015286406,6119.137516204906,3176.434124530731
1,lambda,0.027958079447811424,0.0248778195,0.019594510778992366,0.00123870652,0.07316740177500002,1.0017873401854083,5374.944568332956,3028.2730821449
1,delta,1.0997566529825,1.0894762500000001,0.2005275824218594,0.73204887525,1.6940895625,1.006390206047205,2683.451017446167,1453.2882439360922
1,eta,-0.07137744247884026,-0.0858097475,0.17075829655316407,-0.3861122285,0.31313857775000015,1.0043889095617944,2433.2495162453206,2686.1176960099187
2,alpha,1.60289248586,1.59592405,0.38774354778470443,0.8641969660000001,2.3676549050000006,1.0004122967674094,4582.414042578319,3310.846959726014
2,beta,0.770003967595,0.7648487150000001,0.14721062263314602,0.4896100405,1.07513129,1.0021035692386464,6429.987126147755,3192.6476636556326
2,lambda,0.024348396469622825,0.0209258785,0.018142695322719133,0.0010503472950000002,0.06874327327500002,1.0008066062954912,5299.141618493688,2607.201141139778
2,delta,1.2149345044225,1.2004812500000002,0.20060629323933574,0.9062222310000001,1.6625924650000001,1.0040019580992317,1170.9947146762825,2234.491446365453
2,eta,0.081084525698299,0.0804940945,0.10712196780335004,-0.12850074,0.29188563675,1.0013238318209563,3943.2440514343657,3548.02338446636
3,alpha,5.671658421525,5.8039602,0.3750741914817232,4.6616408625000005,5.999887065,1.001144663064312,4310.444765213428,2825.89080816683
3,beta,0.046444477138954,0.044985356500000004,0.15239437227429573,-0.246462911,0.36040176650000005,1.0003981744886998,6518.995290030287,2602.5779132391285
3,lambda,0.0408319473716938,0.039243425,0.022478759038044627,0.0036391823899999997,0.08989154732500002,1.000881585597293,5179.637977144486,2866.298188966366
3,delta,1.291931093105,1.2843219,0.2162465961097849,0.88359158025,1.7000770550000002,1.004710682193377,1100.8489254546457,2008.313468008355
3,eta,0.06147463445784925,0.047763414500000004,0.14306940868695753,-0.18006004424999997,0.39246745250000004,1.003495135664153,3470.1345586361967,2349.480270653744
4,alpha,5.467193311575,5.614812049999999,0.5053911713126922,4.2055831349999995,5.9992983475,1.0024637682097708,4622.45832556827,2699.9619377940785
4,beta,0.27138706348818,0.26880972000000003,0.14318049125740823,-0.005594681834999997,0.565651129,1.000749626516848,5940.943554934431,2760.7626851091295
4,lambda,0.026493508820041773,0.023839591,0.01787199848846021,0.00150643407,0.06763343815,1.0009096060287481,5271.055142557683,3122.590564756712
4,delta,1.1884958228,1.19249525,0.17778677678255905,0.834819473,1.5191836200000002,1.0040101893673379,2010.2773738238614,2050.379286593737
4,eta,0.178263076872375,0.154437155,0.19086901341546422,-0.13071680674999997,0.59825662775,1.0040895070646454,3744.0438888668273,2596.054887504095
5,alpha,5.329245409725,5.46503785,0.5839278163497085,3.9421282874999997,5.9994052875,1.0009098825973428,4180.638772681148,2564.871725936731
5,beta,0.495428661932045,0.489225905,0.1853349059181247,0.15115884175000002,0.8807430125000001,1.0001102521782472,6314.260752756735,3086.4295455248066
