"participant","parameter","mean","median","sd","q2.5","q97.5","rhat","ess_bulk","ess_tail","model"
1,"alpha",0.6639655288961,0.648460805,0.332502644719667,0.06017379645,1.3444527225,1.00047970777782,4442.06825285525,2267.36561226542,"log_boost_model_unaware"
1,"beta",0.75052918413,0.744172285,0.140929053001858,0.496078029,1.04460437,0.999903999844675,4323.69610431439,3314.44312234147,"log_boost_model_unaware"
1,"lambda",0.0635790101644463,0.059753732,0.0335952517894499,0.0092174414425,0.14118136675,0.999826684463061,5022.32350009145,2451.1298726672,"log_boost_model_unaware"
1,"delta",1.12436024153204,1.12891115,0.693344809146501,0.010579282475,1.9980077025,1.00267402764623,684.552067093264,2209.74254127442,"log_boost_model_unaware"
1,"eta",-0.43118506122087,-0.44483105,0.182444662047416,-0.7604635105,-0.1129738785,1.0027084479104,662.441085409522,2528.54891951556,"log_boost_model_unaware"
2,"alpha",5.414143426375,5.547159,0.522804794500016,4.1610762975,5.9989785375,0.999640473505555,4107.06246447277,2571.18324177038,"log_boost_model_unaware"
2,"beta",0.745249160105,0.74081827,0.185626012824616,0.39737118475,1.1336860425,1.00210078858703,6608.54775365959,3114.09470717583,"log_boost_model_unaware"
2,"lambda",0.044133141226769,0.042897448,0.0203231739436186,0.00932618514,0.0873808724,1.00162899017845,4583.01090739163,2733.92681391916,"log_boost_model_unaware"
2,"delta",1.20074283015114,1.3038381,0.540081415967382,0.01560404835,1.984098195,1.0028989328106,2553.20587543595,1991.70915079958,"log_boost_model_unaware"
2,"eta",-0.242898823810915,-0.23765001,0.0924829609686795,-0.447961145,-0.0739960120499999,1.0016370352035,3508.50285527102,2762.86799911356,"log_boost_model_unaware"
3,"alpha",1.49841108375,1.4826619,0.413918339936767,0.73931079225,2.34743787,1.00136907900079,4619.54420362019,3526.93414572431,"log_boost_model_unaware"
3,"beta",1.0872765710725,1.0817735,0.180074241697179,0.74784986625,1.4582994075,0.999806089190837,5212.3757438063,3098.86757346068,"log_boost_model_unaware"
3,"lambda",0.0727650864664862,0.0715580635,0.0299995933842249,0.018872445775,0.13423483775,1.00155546680153,4404.37231470547,1797.71460857562,"log_boost_model_unaware"
3,"delta",0.990661216558004,1.02549485,0.586092654388491,0.0079436033025,1.9792026075,1.00283326192078,2322.95163174405,2312.90256588904,"log_boost_model_unaware"
