"participant","parameter","mean","median","sd","q2.5","q97.5","rhat","ess_bulk","ess_tail","model"
1,"alpha",1.74286382435,1.7021029,0.454676033319593,0.9772781525,2.7226441075,1.00044323857207,5123.91424484292,3318.31400897517,"log_trunc_global_eta_aware"
1,"beta",0.59660400252,0.58642835,0.146953081821557,0.332580152,0.90598892175,0.999766246791,4989.75128535248,3302.87253278933,"log_trunc_global_eta_aware"
1,"lambda",0.057754163870109,0.0510936885,0.0389545921225145,0.0030313446875,0.1484160505,1.00097279341007,3684.88574875725,2604.13522726039,"log_trunc_global_eta_aware"
1,"delta",1.45937855625,1.4310348,0.209487289022421,1.136272565,1.91336161,1.00062426701179,2135.65202941338,2281.35916236696,"log_trunc_global_eta_aware"
1,"eta",-0.235339210740147,-0.23037522,0.292710994121354,-0.83111846875,0.31846226175,1.00093341591959,4128.45630292536,3226.5397346026,"log_trunc_global_eta_aware"
2,"alpha",2.3753186415175,2.3392993,0.54090169046158,1.4111059,3.511445765,1.00028793739428,5555.83719441229,3574.25133253145,"log_trunc_global_eta_aware"
2,"beta",0.910174763225,0.9017346,0.180491649417805,0.56959432675,1.2864602675,1.00080598013506,5691.11409293598,3011.77905759141,"log_trunc_global_eta_aware"
2,"lambda",0.0454314663180345,0.0423161125,0.0280416688433372,0.0026252946375,0.1064789385,0.999653523199353,4317.96869392066,2342.4476939207,"log_trunc_global_eta_aware"
2,"delta",1.17261631291576,1.0793965,0.299590718185475,0.8029554535,1.848294475,1.00117462332347,1671.18588196544,2295.46308659311,"log_trunc_global_eta_aware"
2,"eta",0.764726540022638,0.744269835,0.516193241367037,-0.18739330025,1.86576051,1.00019187851108,4021.25781836742,2558.91712321892,"log_trunc_global_eta_aware"
3,"alpha",5.1901927096,5.28228615,0.592750683932683,3.9163198275,5.9918782525,1.00044659789601,3162.44418198638,2230.81123094371,"log_trunc_global_eta_aware"
3,"beta",0.214127264907315,0.21183321,0.144063624272787,-0.05931669665,0.50520656175,1.00108642821057,5883.69089087489,3148.95052845699,"log_trunc_global_eta_aware"
