"participant","parameter","mean","median","sd","q2.5","q97.5","rhat","ess_bulk","ess_tail","model"
1,"alpha",4.992302892575,5.03516225,0.701875228707759,3.555307345,5.99705056,1.00039469005016,3490.87693718304,2300.24564613153,"log_trunc_global_eta_unaware"
1,"beta",0.368085926148205,0.364969425,0.168142566362407,0.053196102675,0.71058322925,1.00052070635232,6033.83502992128,2875.45225254543,"log_trunc_global_eta_unaware"
1,"lambda",0.0237466120841327,0.019974316,0.0179474278192813,0.000845298462,0.06751359615,0.999575632247724,4432.88427002328,2787.4305085303,"log_trunc_global_eta_unaware"
1,"delta",0.8800039964125,0.87752599,0.179360715866276,0.52929693725,1.166685585,1.00423118537447,1982.24358302959,1858.41125602126,"log_trunc_global_eta_unaware"
1,"eta",-0.884220880206092,-0.96463134,0.635677788219345,-1.924712755,0.72668715275,1.00077518051719,3045.50473878097,2061.90649922532,"log_trunc_global_eta_unaware"
2,"alpha",1.7614825584625,1.7479534,0.438191058262737,0.94011531,2.6750143525,1.00032827939583,5045.8659504497,3539.18884731059,"log_trunc_global_eta_unaware"
2,"beta",0.8817314171825,0.870964785,0.174829753696916,0.5628369735,1.2499643775,0.999667836451425,5209.85061055725,3346.3407158785,"log_trunc_global_eta_unaware"
2,"lambda",0.0242253090355791,0.0206955135,0.0177142792848076,0.00096308814325,0.06663038015,1.00011572640189,4945.72255826746,2612.85797904365,"log_trunc_global_eta_unaware"
2,"delta",1.15156978166,1.1418249,0.170631977358498,0.9002567535,1.518088575,1.00108980651781,3345.63825157689,3113.88744865499,"log_trunc_global_eta_unaware"
2,"eta",0.855781011695158,0.84215708,0.462650361060151,-0.00357969506749999,1.7988615375,1.0013210063245,5593.59635595312,3592.1084430005,"log_trunc_global_eta_unaware"
3,"alpha",5.688449341475,5.81028705,0.352615000421846,4.71182672,5.9998997325,1.00036244254895,4851.36570757779,2519.05256562074,"log_trunc_global_eta_unaware"
