"participant","parameter","mean","median","sd","q2.5","q97.5","rhat","ess_bulk","ess_tail","model"
1,"alpha",0.569285217078891,0.548600695,0.328603775773408,0.01933458685,1.2785898725,1.00032585831056,3637.23894056045,1944.09574884035,"log_trunc_global_eta_unaware"
1,"beta",0.7405047412275,0.73630001,0.131732019494165,0.49727911575,1.0223908,1.00139456776903,5812.44909186195,3034.02038912422,"log_trunc_global_eta_unaware"
1,"lambda",0.0676634707024325,0.063792293,0.0362301754484144,0.0095053105075,0.148413876,1.00012936629999,3616.89593503353,2553.26662760027,"log_trunc_global_eta_unaware"
1,"delta",0.585035289499379,0.51864494,0.385929206176955,0.036796819325,1.53208045,1.00234583762589,1653.08909329214,1547.56786907512,"log_trunc_global_eta_unaware"
1,"eta",-0.346785534325207,-0.35736002,0.268658646312506,-0.8842064605,0.228093628,1.00177533964197,3219.82675407556,3391.66889610911,"log_trunc_global_eta_unaware"
2,"alpha",5.458080283675,5.602849,0.514324077545145,4.203560255,5.999518745,1.00041134914303,4027.40742483099,2419.00628287978,"log_trunc_global_eta_unaware"
2,"beta",0.7025558522895,0.69415274,0.193909536284961,0.34702371525,1.10349526,1.00262346031475,6564.7922328942,2772.00691713993,"log_trunc_global_eta_unaware"
2,"lambda",0.0431017547785308,0.0411539065,0.0211121660261709,0.0076321268375,0.088668643875,1.0012150653875,4513.97312656848,2833.50553207256,"log_trunc_global_eta_unaware"
2,"delta",0.878627784733806,0.857983025,0.513134089536327,0.0367329044,1.73102109,1.00897537437713,640.586791616238,2360.53603995132,"log_trunc_global_eta_unaware"
2,"eta",-0.57079726104425,-0.505311785,0.369050031032773,-1.483163755,-0.0205254619249997,1.00537384546017,1118.95242016626,2449.27853824711,"log_trunc_global_eta_unaware"
3,"alpha",1.4406754179775,1.4225149,0.406466800071465,0.72647489825,2.2945369275,1.00109716318534,5139.42095075502,3407.88437192604,"log_trunc_global_eta_unaware"
3,"beta",1.0730880548125,1.06329935,0.177892697976182,0.749031572,1.45501818,1.00057095405116,5736.15739728483,2836.73838933808,"log_trunc_global_eta_unaware"
3,"lambda",0.07051550439669,0.0684444275,0.0310087628877456,0.01556686325,0.13716262425,1.00050534977395,4621.61458934803,2522.29957235027,"log_trunc_global_eta_unaware"
3,"delta",1.19168823766675,1.17153655,0.308214305923608,0.59341674325,1.8148584175,1.00192086679351,3436.93582781057,2733.49096790444,"log_trunc_global_eta_unaware"
3,"eta",-0.366242004867402,-0.36180489,0.314539864293544,-1.0031924,0.28449967475,1.00340442654566,2984.1090009536,2878.29853931142,"log_trunc_global_eta_unaware"
4,"alpha",1.45238353875067,1.4249323,0.429115413047466,0.6684963285,2.3354131725,0.999642189590525,5631.52461043527,2917.48868766962,"log_trunc_global_eta_unaware"
4,"beta",0.7850450954025,0.776326295,0.170059295784346,0.47445248325,1.1312667625,0.999549203302513,4942.78229159372,3207.62744468285,"log_trunc_global_eta_unaware"
4,"lambda",0.1796445214975,0.177657895,0.0524299869574103,0.0815980186,0.28377546925,1.00081449664095,4125.92596727884,2768.30512523074,"log_trunc_global_eta_unaware"
4,"delta",0.440310303199183,0.44121862,0.195935822855169,0.056652147,0.82677842775,1.00199509685307,2599.70347417061,2170.84116873154,"log_trunc_global_eta_unaware"
4,"eta",-0.37478898629092,-0.37355532,0.254758298014771,-0.892806578,0.13553095825,1.00219661340615,2911.22381560352,3326.99455923056,"log_trunc_global_eta_unaware"
5,"alpha",3.1567537804,3.1002688,0.72039069352105,1.837405275,4.7406947475,1.00045549115244,6008.26689927214,2687.30190621197,"log_trunc_global_eta_unaware"
5,"beta",1.8734112557575,1.8429534,0.330007752431772,1.31286511,2.57883218,1.00114266981183,4112.76489777436,2816.39861822054,"log_trunc_global_eta_unaware"
5,"lambda",0.0309366176026905,0.02967659,0.015924036202962,0.004897169985,0.066042915675,1.00287521383848,3992.49695450255,2622.37177724506,"log_trunc_global_eta_unaware"
5,"delta",0.699594446705,0.72927236,0.236638196846539,0.154466075,1.0564575025,1.00064903227701,3949.11527094631,2447.15830042237,"log_trunc_global_eta_unaware"
5,"eta",-0.393829422482322,-0.383549695,0.316822855513437,-1.045547925,0.25132138275,1.0018319209959,2885.7928419863,2693.7537946977,"log_trunc_global_eta_unaware"
6,"alpha",2.4291305755675,2.42100495,0.599023100518383,1.3225668775,3.655450645,1.00027451940988,5530.74266352275,3242.40508144426,"log_trunc_global_eta_unaware"
6,"beta",1.4606480657275,1.4448073,0.241585112895941,1.00919023,1.9670291475,1.00224968153019,5776.15008145665,3238.02899183528,"log_trunc_global_eta_unaware"
6,"lambda",0.1626340477575,0.16250976,0.0329411015719736,0.1000963702,0.2273803375,1.00066540842515,4417.10601840907,3037.26002212933,"log_trunc_global_eta_unaware"
6,"delta",0.521755995779438,0.524762805,0.234557476246356,0.07314212765,0.945822294,1.00261477413854,2951.86283591186,2385.4193417961,"log_trunc_global_eta_unaware"
6,"eta",-0.512670265674308,-0.47663179,0.284262832322725,-1.16759443,-0.0205515257249999,1.00351968623243,1185.37217804984,2977.66056931915,"log_trunc_global_eta_unaware"
7,"alpha",5.171315534425,5.2696175,0.639366991723759,3.7573698325,5.99742658,0.999951964601952,2929.66932753111,2011.12093746137,"log_trunc_global_eta_unaware"
7,"beta",0.2719890438802,0.271267025,0.15703465783916,-0.0291296484,0.587619218,1.00126162692138,5720.0815306199,3207.3058607321,"log_trunc_global_eta_unaware"
7,"lambda",0.08845729944405,0.0876510135,0.0312576494854992,0.0298503758,0.151962148,1.00073833209358,3913.7169284909,2339.82509596247,"log_trunc_global_eta_unaware"
7,"delta",0.51607266740206,0.52873091,0.224343390763409,0.06780871705,0.9238931155,1.00351254650228,2537.7581962235,2192.06415620881,"log_trunc_global_eta_unaware"
7,"eta",-0.230330885657655,-0.264313045,0.30848659584144,-0.773960033,0.4879864895,1.00170056692129,2275.49011549477,3122.91206417579,"log_trunc_global_eta_unaware"
8,"alpha",4.899607364825,4.9671276,0.759601890737995,3.334748215,5.9914445325,1.0007647298379,2876.04756896956,2415.34254767795,"log_trunc_global_eta_unaware"
8,"beta",0.65721376418875,0.65153636,0.205467186970382,0.272077577,1.0729687325,1.00141394501661,5431.56468613303,2816.44518047062,"log_trunc_global_eta_unaware"
8,"lambda",0.1584964253585,0.1581104,0.0398657886752672,0.082404906125,0.23743978325,1.00131260154884,4063.41470514397,2768.92998308679,"log_trunc_global_eta_unaware"
8,"delta",1.03028970121072,1.0080255,0.32675139681177,0.3308641255,1.7128528,1.00054886056107,3580.80698858467,2483.22530665889,"log_trunc_global_eta_unaware"
8,"eta",-0.521163036743787,-0.489107225,0.287920885249083,-1.1818736225,-0.033153903025,1.00289166738268,1916.31868314247,3079.07587980487,"log_trunc_global_eta_unaware"
9,"alpha",5.141087268725,5.25295555,0.659180624649738,3.6455427875,5.9963969625,1.00020462440956,2803.0714289084,2434.06350695788,"log_trunc_global_eta_unaware"
9,"beta",0.125969138977335,0.12085695,0.153118214812263,-0.16283397775,0.429453541,0.999840381219436,4774.00083340259,3569.34023274704,"log_trunc_global_eta_unaware"
9,"lambda",0.08482093937475,0.0841581765,0.0284782175624858,0.031915524075,0.140752712,1.00037956284904,4066.79616157462,2794.22552983157,"log_trunc_global_eta_unaware"
9,"delta",0.631985891068281,0.47844898,0.472965826951938,0.02725532965,1.565222945,1.01316336418492,450.075912410552,2125.46822626468,"log_trunc_global_eta_unaware"
9,"eta",-0.203631021256679,-0.236594645,0.392509693263553,-0.9559211675,0.64012292425,1.007279092114,650.291717237996,877.781866055984,"log_trunc_global_eta_unaware"
10,"alpha",5.6885505926,5.80163765,0.345970362534585,4.7730340225,5.9997745975,1.00010639647055,4764.98132020745,2749.59012303564,"log_trunc_global_eta_unaware"
